Город,Категория,"Организаций (уникальных, org_count)",Точек/филиалов (branch_count),Кол-во рубрик 2ГИС в сумме,Точность
Павлодар,детские товары,644,747,4,"сумма 4 рубрик, возможно небольшое задвоение"
Павлодар,спорттовары,123,143,2,"сумма 2 рубрик, возможно небольшое задвоение"
Павлодар,текстиль для дома,223,264,1,точно (1 рубрика)
Павлодар,подарки/сувениры,75,79,1,точно (1 рубрика)
Павлодар,цветы,208,278,2,"сумма 2 рубрик, возможно небольшое задвоение"
Павлодар,кондитерские/торты,253,340,1,точно (1 рубрика)
Павлодар,мебель,358,417,4,"сумма 4 рубрик, возможно небольшое задвоение"
Павлодар,зоотовары,73,87,1,точно (1 рубрика)
Павлодар,автозапчасти,0,0,1,точно (1 рубрика)
Павлодар,стройматериалы,83,91,1,точно (1 рубрика)
Өскемен,одежда,644,775,3,"сумма 3 рубрик, возможно небольшое задвоение"
Өскемен,обувь,207,265,2,"сумма 2 рубрик, возможно небольшое задвоение"
Өскемен,косметика,231,291,1,точно (1 рубрика)
Өскемен,украшения,125,174,2,"сумма 2 рубрик, возможно небольшое задвоение"
Өскемен,детские товары,407,526,4,"сумма 4 рубрик, возможно небольшое задвоение"
Өскемен,спорттовары,114,150,2,"сумма 2 рубрик, возможно небольшое задвоение"
Өскемен,текстиль для дома,124,174,1,точно (1 рубрика)
Өскемен,подарки/сувениры,48,57,1,точно (1 рубрика)
Өскемен,цветы,148,187,2,"сумма 2 рубрик, возможно небольшое задвоение"
Өскемен,кондитерские/торты,119,176,1,точно (1 рубрика)
Өскемен,мебель,316,353,4,"сумма 4 рубрик, возможно небольшое задвоение"
Өскемен,зоотовары,80,99,1,точно (1 рубрика)
Өскемен,автозапчасти,0,0,1,точно (1 рубрика)
Өскемен,стройматериалы,71,84,1,точно (1 рубрика)
Семей,одежда,924,991,3,"сумма 3 рубрик, возможно небольшое задвоение"
Семей,обувь,280,315,2,"сумма 2 рубрик, возможно небольшое задвоение"
Семей,косметика,238,301,1,точно (1 рубрика)
Семей,украшения,124,144,2,"сумма 2 рубрик, возможно небольшое задвоение"
Семей,детские товары,473,558,4,"сумма 4 рубрик, возможно небольшое задвоение"
Семей,спорттовары,53,58,2,"сумма 2 рубрик, возможно небольшое задвоение"
Семей,текстиль для дома,102,121,1,точно (1 рубрика)
Семей,подарки/сувениры,46,56,1,точно (1 рубрика)
Семей,цветы,198,222,2,"сумма 2 рубрик, возможно небольшое задвоение"
Семей,кондитерские/торты,174,239,1,точно (1 рубрика)
Семей,мебель,204,218,4,"сумма 4 рубрик, возможно небольшое задвоение"
Семей,зоотовары,24,27,1,точно (1 рубрика)
Семей,автозапчасти,0,0,1,точно (1 рубрика)
Семей,стройматериалы,132,141,1,точно (1 рубрика)
Орал,одежда,948,1020,3,"сумма 3 рубрик, возможно небольшое задвоение"
Орал,обувь,263,294,2,"сумма 2 рубрик, возможно небольшое задвоение"
Орал,косметика,217,266,1,точно (1 рубрика)
Орал,украшения,152,173,2,"сумма 2 рубрик, возможно небольшое задвоение"
Орал,детские товары,474,525,4,"сумма 4 рубрик, возможно небольшое задвоение"
Орал,спорттовары,62,64,2,"сумма 2 рубрик, возможно небольшое задвоение"
Орал,текстиль для дома,125,147,1,точно (1 рубрика)
Орал,подарки/сувениры,36,39,1,точно (1 рубрика)
Орал,цветы,204,242,2,"сумма 2 рубрик, возможно небольшое задвоение"
Орал,кондитерские/торты,159,252,1,точно (1 рубрика)
Орал,мебель,299,336,4,"сумма 4 рубрик, возможно небольшое задвоение"
Орал,зоотовары,20,23,1,точно (1 рубрика)
Орал,автозапчасти,265,287,1,точно (1 рубрика)
Орал,стройматериалы,84,96,1,точно (1 рубрика)
Костанай,одежда,1118,1240,3,"сумма 3 рубрик, возможно небольшое задвоение"
Костанай,обувь,351,405,2,"сумма 2 рубрик, возможно небольшое задвоение"
Костанай,косметика,285,342,1,точно (1 рубрика)
Костанай,украшения,214,251,2,"сумма 2 рубрик, возможно небольшое задвоение"
Костанай,детские товары,633,697,4,"сумма 4 рубрик, возможно небольшое задвоение"
Костанай,спорттовары,112,127,2,"сумма 2 рубрик, возможно небольшое задвоение"
Костанай,текстиль для дома,251,263,1,точно (1 рубрика)
Костанай,подарки/сувениры,66,70,1,точно (1 рубрика)
Костанай,цветы,208,261,2,"сумма 2 рубрик, возможно небольшое задвоение"
Костанай,кондитерские/торты,214,286,1,точно (1 рубрика)
Костанай,мебель,378,411,4,"сумма 4 рубрик, возможно небольшое задвоение"
Костанай,зоотовары,63,74,1,точно (1 рубрика)
Костанай,автозапчасти,0,0,1,точно (1 рубрика)
Костанай,стройматериалы,59,68,1,точно (1 рубрика)
Қызылорда,одежда,1130,1178,3,"сумма 3 рубрик, возможно небольшое задвоение"
Қызылорда,обувь,362,381,2,"сумма 2 рубрик, возможно небольшое задвоение"
Қызылорда,косметика,224,254,1,точно (1 рубрика)
Қызылорда,украшения,206,217,2,"сумма 2 рубрик, возможно небольшое задвоение"
Қызылорда,детские товары,513,563,4,"сумма 4 рубрик, возможно небольшое задвоение"
Қызылорда,спорттовары,88,102,2,"сумма 2 рубрик, возможно небольшое задвоение"
Қызылорда,текстиль для дома,82,84,1,точно (1 рубрика)
Қызылорда,подарки/сувениры,33,33,1,точно (1 рубрика)
Қызылорда,цветы,112,134,2,"сумма 2 рубрик, возможно небольшое задвоение"
Қызылорда,кондитерские/торты,140,173,1,точно (1 рубрика)
Қызылорда,мебель,206,215,4,"сумма 4 рубрик, возможно небольшое задвоение"
Қызылорда,зоотовары,5,5,1,точно (1 рубрика)
Қызылорда,автозапчасти,152,162,1,точно (1 рубрика)
Қызылорда,стройматериалы,71,75,1,точно (1 рубрика)
Петропавловск,одежда,496,538,3,"сумма 3 рубрик, возможно небольшое задвоение"
Петропавловск,обувь,150,188,2,"сумма 2 рубрик, возможно небольшое задвоение"
Петропавловск,косметика,117,146,1,точно (1 рубрика)
Петропавловск,украшения,66,89,2,"сумма 2 рубрик, возможно небольшое задвоение"
Петропавловск,детские товары,249,299,4,"сумма 4 рубрик, возможно небольшое задвоение"
Петропавловск,спорттовары,45,50,2,"сумма 2 рубрик, возможно небольшое задвоение"
Петропавловск,текстиль для дома,83,108,1,точно (1 рубрика)
Петропавловск,подарки/сувениры,30,43,1,точно (1 рубрика)
Петропавловск,цветы,115,140,2,"сумма 2 рубрик, возможно небольшое задвоение"
Петропавловск,кондитерские/торты,86,156,1,точно (1 рубрика)
Петропавловск,мебель,280,309,4,"сумма 4 рубрик, возможно небольшое задвоение"
Петропавловск,зоотовары,31,38,1,точно (1 рубрика)
Петропавловск,автозапчасти,0,0,1,точно (1 рубрика)
Петропавловск,стройматериалы,52,61,1,точно (1 рубрика)
Атырау,одежда,851,940,3,"сумма 3 рубрик, возможно небольшое задвоение"
Атырау,обувь,295,329,2,"сумма 2 рубрик, возможно небольшое задвоение"
Атырау,косметика,213,258,1,точно (1 рубрика)
Атырау,украшения,161,189,2,"сумма 2 рубрик, возможно небольшое задвоение"
Атырау,детские товары,435,529,4,"сумма 4 рубрик, возможно небольшое задвоение"
Атырау,спорттовары,92,108,2,"сумма 2 рубрик, возможно небольшое задвоение"
Атырау,текстиль для дома,82,105,1,точно (1 рубрика)
Атырау,подарки/сувениры,30,32,1,точно (1 рубрика)
Атырау,цветы,138,191,2,"сумма 2 рубрик, возможно небольшое задвоение"
Атырау,кондитерские/торты,169,248,1,точно (1 рубрика)
Атырау,мебель,337,370,4,"сумма 4 рубрик, возможно небольшое задвоение"
Атырау,зоотовары,10,18,1,точно (1 рубрика)
Атырау,автозапчасти,246,263,1,точно (1 рубрика)
Атырау,стройматериалы,107,115,1,точно (1 рубрика)
Ақтау,одежда,1369,1473,3,"сумма 3 рубрик, возможно небольшое задвоение"
Ақтау,обувь,449,497,2,"сумма 2 рубрик, возможно небольшое задвоение"
Ақтау,косметика,335,399,1,точно (1 рубрика)
Ақтау,украшения,251,269,2,"сумма 2 рубрик, возможно небольшое задвоение"
Ақтау,детские товары,636,723,4,"сумма 4 рубрик, возможно небольшое задвоение"
Ақтау,спорттовары,103,109,2,"сумма 2 рубрик, возможно небольшое задвоение"
Ақтау,текстиль для дома,137,154,1,точно (1 рубрика)
Ақтау,подарки/сувениры,60,68,1,точно (1 рубрика)
Ақтау,цветы,200,244,2,"сумма 2 рубрик, возможно небольшое задвоение"
Ақтау,кондитерские/торты,225,283,1,точно (1 рубрика)
Ақтау,мебель,471,522,4,"сумма 4 рубрик, возможно небольшое задвоение"
Ақтау,зоотовары,16,20,1,точно (1 рубрика)
Ақтау,автозапчасти,334,356,1,точно (1 рубрика)
Ақтау,стройматериалы,142,165,1,точно (1 рубрика)
